순위,기간시작,기간종료,썸네일_이미지의_URL,영화명(국문),영화코드,하이퍼텍스트_링크,줄거리
6,20120723,20120729,https://ssl.pstatic.net/imgmovie/mdi/mit110/0924/92412_P00_151050.jpg,명탐정 코난: 11번째 스트라이커,20127306,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92412,"어느 날 탐정사무소로 걸려온 폭탄 테러 예고 전화. 유명한 탐정을 도발하듯 그의 눈앞에서 자동차가 폭파되고 범인은 수수께끼와도 같은 암호를 남긴다. 절박한 상황에서 홀로 암호를 풀어낸 코난의 활약으로 대형 참사는 겨우 막지만 축구 경기장의 대형 전광판에 숨겨져 있던 폭탄이 결국 폭발하고 범인을 잡는데는 결국 실패하고 만다. 그리고 또 다시 도전장과 같은 수수께끼의 암호가 유명한 탐정에게 배달되는데…도대체 다음 목표는 어디이며 누가 범인인 것인지, 그리고 왜 범인은 유명한 탐정을 노리는 것인가!? 축구계 전체를 둘러싼 음모와 위협 속에서 암호를 해독하고 진실을 밝혀라!"
7,20120723,20120729,,어메이징 스파이더맨,20126077,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121059,
8,20120723,20120729,https://ssl.pstatic.net/imgmovie/mdi/mit110/0925/92584_P16_164800.jpg,극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,20127266,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92584,"곤충씨름에서 이기기 위해, 500년 전 장수풍뎅이를 불러오려다가 ‘자이언트 모아’를 데려온 진구와 도라에몽. 이미 멸종된 ‘자이언트 모아’를 위해, 고대 동물들이 모여 산다는 “베레가몬드 섬”으로 가게 된다. 여기서 기적의 섬의 파워를 훔치려는 악덕 상인 샤먼의 음모와 만나게 되는데.. 과연 도라에몽과 친구들은 기적의 섬을 지켜낼 수 있을까? 기적의 섬에서 만난 또 다른 진구의 정체는?!"
9,20120723,20120729,https://ssl.pstatic.net/imgmovie/mdi/mit110/1487/148775_P01_143752.jpg,두 개의 달,20125916,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148775,
10,20120723,20120729,https://ssl.pstatic.net/imgmovie/mdi/mit110/0746/74610_P76_103428.jpg,미드나잇 인 파리,20126686,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74610,"약혼자 '이네즈'(레이첼 맥아담스)를 두고
 홀로 파리의 밤거리를 배회하던 '길'(오웬 윌슨)은
 종소리와 함께 홀연히 나타난 차에 올라타게 되고
 그곳에서 1920년대를 대표하는 예술가들과 조우하게 된다.
 
 그 날 이후 매일 밤 1920년대로 떠난 '길'은
 평소에 동경하던 예술가들과 친구가 되어 꿈 같은 시간을 보내게 되고
 헤밍웨이와 피카소의 연인이자 뮤즈인 ‘애드리아나’(마리옹 꼬띠아르)를 만나게 된다.
 시간이 지날수록 ‘길’은 예술과 낭만을 사랑하는 매혹적인 그녀에게 빠져들게 되는데…
 
 세기를 초월한 사랑은 이뤄질 수 있을까?"
1,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0720/72054_P64_134619.jpg,다크 나이트 라이즈,20112703,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72054,"다크 나이트 신화의 전설이 끝난다.
 배트맨이 조커와의 대결을 끝으로 세상에서 모습을 감춘 8년 후,
 하비 덴트의 죽음에 대한 책임을 떠안은 배트맨은 모든 것을 희생하며 떠나고..
 범죄방지 덴트법으로 인해 한동안 평화가 지속되던 고담시의 파멸을 예고하며 나타난 마스크를 쓴 잔인한 악당, 
 최강의 적 베인이 등장한다.
 베인은 배트맨이 스스로 택한 유배 생활에 종지부를 찍게 하지만, 
 다시 돌아온 배트맨에게 베인은 만만한 상대가 아니다.
 자신을 거부한 사람들의 고통을 지켜볼 것인가, 정의의 수호자로 나설 것인가.
 배트맨은 승패를 알 수 없는 마지막 전투를 시작하려 하는데…"
2,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0882/88225_P08_114914.jpg,연가시,20124062,https://movie.naver.com/movie/bi/mi/basic.nhn?code=88225,"그 누구도 피할 수 없는 감염의 공포가 대한민국을 초토화시킨다!  고요한 새벽녘 한강에 뼈와 살가죽만 남은 참혹한 몰골의 시체들이 떠오른다. 이를 비롯해 전국 방방곡곡의 하천에서 변사체들이 발견되기 시작하는데… 원인은 숙주인 인간의 뇌를 조종하여 물 속에 뛰어들도록 유도해 익사시키는 ‘변종 연가시’. 짧은 잠복기간과 치사율 100%, 4대강을 타고 급속하게 번져나가는 ‘연가시 재난’은 대한민국을 초토화시킨다. 사망자들이 기하급수적으로 늘어나게 되자 정부는 비상대책본부를 가동해 감염자 전원을 격리 수용하는 국가적인 대응태세에 돌입하지만, 이성을 잃은 감염자들은 통제를 뚫고 물가로 뛰쳐나가려고 발악한다. 한편, 일에 치여 가족들을 챙기지 못했던 제약회사 영업사원 재혁은 자신도 모르는 사이에 연가시에 감염 되어버린 아내와 아이들을 살리기 위해 치료제를 찾아 고군분투한다. 그 가운데 그는 재난사태와 관련된 심상치 않은 단서를 발견하고 사건 해결에 나서게 되는데…"
3,20120716,20120722,,어메이징 스파이더맨,20126077,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121059,
4,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0924/92412_P00_151050.jpg,명탐정 코난: 11번째 스트라이커,20127306,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92412,"어느 날 탐정사무소로 걸려온 폭탄 테러 예고 전화. 유명한 탐정을 도발하듯 그의 눈앞에서 자동차가 폭파되고 범인은 수수께끼와도 같은 암호를 남긴다. 절박한 상황에서 홀로 암호를 풀어낸 코난의 활약으로 대형 참사는 겨우 막지만 축구 경기장의 대형 전광판에 숨겨져 있던 폭탄이 결국 폭발하고 범인을 잡는데는 결국 실패하고 만다. 그리고 또 다시 도전장과 같은 수수께끼의 암호가 유명한 탐정에게 배달되는데…도대체 다음 목표는 어디이며 누가 범인인 것인지, 그리고 왜 범인은 유명한 탐정을 노리는 것인가!? 축구계 전체를 둘러싼 음모와 위협 속에서 암호를 해독하고 진실을 밝혀라!"
5,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/1487/148775_P01_143752.jpg,두 개의 달,20125916,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148775,
6,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0882/88237_P00_122847.jpg,5백만불의 사나이,20124058,https://movie.naver.com/movie/bi/mi/basic.nhn?code=88237,"회사원, 돈가방을 든 특급도망자가 되다! 촉망 받는 대기업 엘리트 부장, 얼굴 빼고는 모든 것이 명품인 능력 있는 로비스트 최영인(박진영)은 보스 한상무(조성하)의 명령으로 로비자금 5백만불을 배달하러 가던 중 괴한의 습격을 받는다. 친형처럼 따랐던 한상무가 자신을 제거하고 돈을 빼돌리려 했다는 충격적인 사실을 알게 된 영인은 얼떨결에 돈가방을 든 채 도망치게 되고, ‘번개’로 만난 깡패 필수(오정세)의 물건을 훔쳐 달아나던 불량소녀 미리(민효린)와 어쩌다 동행하게 된다.  이유는 달라도 목표는 하나! 5백만불의 사나이를 잡아라! 5백만불이 든 돈가방을 되찾으려는 냉혈한 한상무와 무시무시한 조폭 조사장(조희봉) 일당. 그리고 사건을 수사하던 경찰에게까지 쫓기게 된 영인, 그리고 미리를 쫓는 필수 패거리까지 추격자 무리에 합류하게 되고 영인과 미리는 설상가상 비자금 탈취로 전국 수배까지 당하게 된다. 쫓기기만 하던 영인은 이제 그들을 향한 반격의 준비를 시작한다! 과연, 5백만불은 누구의 손에 들어갈 것인가?"
7,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0746/74610_P76_103428.jpg,미드나잇 인 파리,20126686,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74610,"약혼자 '이네즈'(레이첼 맥아담스)를 두고
 홀로 파리의 밤거리를 배회하던 '길'(오웬 윌슨)은
 종소리와 함께 홀연히 나타난 차에 올라타게 되고
 그곳에서 1920년대를 대표하는 예술가들과 조우하게 된다.
 
 그 날 이후 매일 밤 1920년대로 떠난 '길'은
 평소에 동경하던 예술가들과 친구가 되어 꿈 같은 시간을 보내게 되고
 헤밍웨이와 피카소의 연인이자 뮤즈인 ‘애드리아나’(마리옹 꼬띠아르)를 만나게 된다.
 시간이 지날수록 ‘길’은 예술과 낭만을 사랑하는 매혹적인 그녀에게 빠져들게 되는데…
 
 세기를 초월한 사랑은 이뤄질 수 있을까?"
8,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0837/83731_P00_115225.jpg,나는 공무원이다,20113391,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83731,"“니들이 암만 떠들어 봐라 내가 흥분하나? ”  자신의 삶과 직업에 200% 만족하며 살아가고 있는 남자 윤제문. 그는 마포구청 환경과 생활공해팀에 근무하는 10년차 7급 공무원이다. 웬만한 민원에는 능수능란, 일사천리로 해결하며 평정심을 유지하는 그의 좌우명은 “흥분하면 지는 거다”, 일명 “평정심의 대가”로 통한다. 변화 같은 건 ‘평정심’을 깨는 인생의 적으로 여기고 퇴근 후 나름 여가생활을 즐기며, 10년째 TV 친구인 유재석, 경규형과 함께 잘 지낸다. 그는 삼성전자 임원 안 부러운 대한민국의 자랑스런 공무원이다.  그러던 어느날, 그의 앞에 홍대의 문제적 인디밴드가 나타나는데...  평정심의 대가 VS 문제적 인디밴드  그는 과연 흥분하지 않고, 인생 최대의 위기를 극복할 것인가!"
9,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/0877/87716_P05_135252.jpg,모모와 다락방의 수상한 요괴들,20127108,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87716,"엄마를 따라 작은 섬 시오지마로 이사 온 11살 도시소녀 모모. 이사온 첫날, 모모는 다락방에서 오래된 그림책 한 권을 발견한다. 그날 이후, 다락방에서 이상한 소리가 들리는가 하면, 냉장고 속 간식이 사라지고, 급기야 그림책 속 요괴들이 모모의 눈앞에 나타나는데... 내 눈에만 보이는 사고뭉치 요괴 3인방~! 모모 덕에 봉인된 그림책에서 나왔다며 자신들을 소개하는 이와, 카와, 마메! 외모와는 다르게 은근 소심하고 먹보에 어리바리하기까지. 자칭 수호신이라며 큰 소리치지만 사고투성인 요괴 3인방과 웃지 못할 한집살이를 시작한 모모에게 어느 날 예상치 못한 위기가 찾아오는데... 도시소녀 모모에게 찾아온 수상한 요괴 3인방! 그들의 초특급 모험이 시작된다!"
10,20120716,20120722,https://ssl.pstatic.net/imgmovie/mdi/mit110/1399/139948_P01_135830.JPEG,리미트리스,20126745,https://movie.naver.com/movie/bi/mi/basic.nhn?code=139948,의문의 약물을 복용한 후 두뇌를 100% 사용하게 되는 능력을 갖추게 된 주인공이 FBI 요원과 함께 범죄를 해결해가는 이야기
1,20120709,20120715,https://ssl.pstatic.net/imgmovie/mdi/mit110/0882/88225_P08_114914.jpg,연가시,20124062,https://movie.naver.com/movie/bi/mi/basic.nhn?code=88225,"그 누구도 피할 수 없는 감염의 공포가 대한민국을 초토화시킨다!  고요한 새벽녘 한강에 뼈와 살가죽만 남은 참혹한 몰골의 시체들이 떠오른다. 이를 비롯해 전국 방방곡곡의 하천에서 변사체들이 발견되기 시작하는데… 원인은 숙주인 인간의 뇌를 조종하여 물 속에 뛰어들도록 유도해 익사시키는 ‘변종 연가시’. 짧은 잠복기간과 치사율 100%, 4대강을 타고 급속하게 번져나가는 ‘연가시 재난’은 대한민국을 초토화시킨다. 사망자들이 기하급수적으로 늘어나게 되자 정부는 비상대책본부를 가동해 감염자 전원을 격리 수용하는 국가적인 대응태세에 돌입하지만, 이성을 잃은 감염자들은 통제를 뚫고 물가로 뛰쳐나가려고 발악한다. 한편, 일에 치여 가족들을 챙기지 못했던 제약회사 영업사원 재혁은 자신도 모르는 사이에 연가시에 감염 되어버린 아내와 아이들을 살리기 위해 치료제를 찾아 고군분투한다. 그 가운데 그는 재난사태와 관련된 심상치 않은 단서를 발견하고 사건 해결에 나서게 되는데…"
2,20120709,20120715,,어메이징 스파이더맨,20126077,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121059,
3,20120709,20120715,https://ssl.pstatic.net/imgmovie/mdi/mit110/1487/148775_P01_143752.jpg,두 개의 달,20125916,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148775,
4,20120709,20120715,https://ssl.pstatic.net/imgmovie/mdi/mit110/0837/83731_P00_115225.jpg,나는 공무원이다,20113391,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83731,"“니들이 암만 떠들어 봐라 내가 흥분하나? ”  자신의 삶과 직업에 200% 만족하며 살아가고 있는 남자 윤제문. 그는 마포구청 환경과 생활공해팀에 근무하는 10년차 7급 공무원이다. 웬만한 민원에는 능수능란, 일사천리로 해결하며 평정심을 유지하는 그의 좌우명은 “흥분하면 지는 거다”, 일명 “평정심의 대가”로 통한다. 변화 같은 건 ‘평정심’을 깨는 인생의 적으로 여기고 퇴근 후 나름 여가생활을 즐기며, 10년째 TV 친구인 유재석, 경규형과 함께 잘 지낸다. 그는 삼성전자 임원 안 부러운 대한민국의 자랑스런 공무원이다.  그러던 어느날, 그의 앞에 홍대의 문제적 인디밴드가 나타나는데...  평정심의 대가 VS 문제적 인디밴드  그는 과연 흥분하지 않고, 인생 최대의 위기를 극복할 것인가!"
5,20120709,20120715,https://ssl.pstatic.net/imgmovie/mdi/mit110/0877/87716_P05_135252.jpg,모모와 다락방의 수상한 요괴들,20127108,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87716,"엄마를 따라 작은 섬 시오지마로 이사 온 11살 도시소녀 모모. 이사온 첫날, 모모는 다락방에서 오래된 그림책 한 권을 발견한다. 그날 이후, 다락방에서 이상한 소리가 들리는가 하면, 냉장고 속 간식이 사라지고, 급기야 그림책 속 요괴들이 모모의 눈앞에 나타나는데... 내 눈에만 보이는 사고뭉치 요괴 3인방~! 모모 덕에 봉인된 그림책에서 나왔다며 자신들을 소개하는 이와, 카와, 마메! 외모와는 다르게 은근 소심하고 먹보에 어리바리하기까지. 자칭 수호신이라며 큰 소리치지만 사고투성인 요괴 3인방과 웃지 못할 한집살이를 시작한 모모에게 어느 날 예상치 못한 위기가 찾아오는데... 도시소녀 모모에게 찾아온 수상한 요괴 3인방! 그들의 초특급 모험이 시작된다!"
