순위,기간,영화코드,영화명(국문),기간순위,기간시작,기간종료,개봉일,감독명(국문),감독명(영문)
1,20191111~20191117,20195002,블랙머니,20191111~201911171,20191111,20191117,2019-11-13,정지영,CHUNG Ji-young
2,20191111~20191117,20181434,신의 한 수: 귀수편,20191111~201911172,20191111,20191117,2019-11-07,리건,LEE Khan
3,20191111~20191117,20191029,82년생 김지영,20191111~201911173,20191111,20191117,2019-10-23,김도영,KIM Do-young
4,20191111~20191117,20192083,터미네이터: 다크 페이트,20191111~201911174,20191111,20191117,2019-10-30,팀 밀러,Tim Miller
1,20191104~20191110,20181434,신의 한 수: 귀수편,20191104~201911101,20191104,20191110,2019-11-07,리건,LEE Khan
2,20191104~20191110,20192083,터미네이터: 다크 페이트,20191104~201911102,20191104,20191110,2019-10-30,팀 밀러,Tim Miller
3,20191104~20191110,20191029,82년생 김지영,20191104~201911103,20191104,20191110,2019-10-23,김도영,KIM Do-young
4,20191104~20191110,20197279,아담스 패밀리,20191104~201911104,20191104,20191110,2019-11-07,그렉 티어넌,Greg Tiernan
1,20191028~20191103,20191029,82년생 김지영,20191028~201911031,20191028,20191103,2019-10-23,김도영,KIM Do-young
2,20191028~20191103,20192083,터미네이터: 다크 페이트,20191028~201911032,20191028,20191103,2019-10-30,팀 밀러,Tim Miller
3,20191028~20191103,20190280,날씨의 아이,20191028~201911033,20191028,20191103,2019-10-30,신카이 마코토,Makoto Shinkai
4,20191028~20191103,20191589,말레피센트 2,20191028~201911034,20191028,20191103,2019-10-17,요아킴 뢰닝,Joachim Ronning
1,20191021~20191027,20191029,82년생 김지영,20191021~201910271,20191021,20191027,2019-10-23,김도영,KIM Do-young
2,20191021~20191027,20191589,말레피센트 2,20191021~201910272,20191021,20191027,2019-10-17,요아킴 뢰닝,Joachim Ronning
3,20191021~20191027,20199950,조커,20191021~201910273,20191021,20191027,2019-10-02,토드 필립스,Todd Phillips
4,20191021~20191027,20195920,가장 보통의 연애,20191021~201910274,20191021,20191027,2019-10-02,김한결,KIM Han-gyeol
1,20191014~20191020,20199950,조커,20191014~201910201,20191014,20191020,2019-10-02,토드 필립스,Todd Phillips
2,20191014~20191020,20191589,말레피센트 2,20191014~201910202,20191014,20191020,2019-10-17,요아킴 뢰닝,Joachim Ronning
3,20191014~20191020,20195920,가장 보통의 연애,20191014~201910203,20191014,20191020,2019-10-02,김한결,KIM Han-gyeol
4,20191014~20191020,20184483,퍼펙트맨,20191014~201910204,20191014,20191020,2019-10-02,용수,Yong-su
1,20191007~20191013,20199950,조커,20191007~201910131,20191007,20191013,2019-10-02,토드 필립스,Todd Phillips
2,20191007~20191013,20195920,가장 보통의 연애,20191007~201910132,20191007,20191013,2019-10-02,김한결,KIM Han-gyeol
3,20191007~20191013,20184483,퍼펙트맨,20191007~201910133,20191007,20191013,2019-10-02,용수,Yong-su
4,20191007~20191013,20191183,제미니 맨,20191007~201910134,20191007,20191013,2019-10-09,이안,Ang Lee
1,20190930~20191006,20199950,조커,20190930~201910061,20190930,20191006,2019-10-02,토드 필립스,Todd Phillips
2,20190930~20191006,20195920,가장 보통의 연애,20190930~201910062,20190930,20191006,2019-10-02,김한결,KIM Han-gyeol
3,20190930~20191006,20184483,퍼펙트맨,20190930~201910063,20190930,20191006,2019-10-02,용수,Yong-su
4,20190930~20191006,20193601,장사리 : 잊혀진 영웅들,20190930~201910064,20190930,20191006,2019-09-25,김태훈,KIM Tae-hun
1,20190923~20190929,20193601,장사리 : 잊혀진 영웅들,20190923~201909291,20190923,20190929,2019-09-25,김태훈,KIM Tae-hun
2,20190923~20190929,20188750,나쁜 녀석들: 더 무비,20190923~201909292,20190923,20190929,2019-09-11,손용호,SON Yong-ho
3,20190923~20190929,20194456,양자물리학,20190923~201909293,20190923,20190929,2019-09-25,이성태,LEE Seong-tae
4,20190923~20190929,20199446,원스 어폰 어 타임... 인 할리우드,20190923~201909294,20190923,20190929,2019-09-25,쿠엔틴 타란티노,Quentin Tarantino
1,20190916~20190922,20188750,나쁜 녀석들: 더 무비,20190916~201909221,20190916,20190922,2019-09-11,손용호,SON Yong-ho
2,20190916~20190922,20184572,타짜: 원 아이드 잭,20190916~201909222,20190916,20190922,2019-09-11,권오광,KWON Oh-kwang
3,20190916~20190922,20192982,애드 아스트라,20190916~201909223,20190916,20190922,2019-09-19,제임스 그레이,James Gray
4,20190916~20190922,20187322,"힘을 내요, 미스터 리",20190916~201909224,20190916,20190922,2019-09-11,이계벽,LEE Gae-byok
1,20190909~20190915,20188750,나쁜 녀석들: 더 무비,20190909~201909151,20190909,20190915,2019-09-11,손용호,SON Yong-ho
2,20190909~20190915,20184572,타짜: 원 아이드 잭,20190909~201909152,20190909,20190915,2019-09-11,권오광,KWON Oh-kwang
3,20190909~20190915,20187322,"힘을 내요, 미스터 리",20190909~201909153,20190909,20190915,2019-09-11,이계벽,LEE Gae-byok
4,20190909~20190915,20193821,극장판 헬로카봇 : 달나라를 구해줘!,20190909~201909154,20190909,20190915,2019-09-04,최신규,CHOI Shin-gyu
1,20190902~20190908,20181416,유열의 음악앨범,20190902~201909081,20190902,20190908,2019-08-28,정지우,JUNG Ji-woo
2,20190902~20190908,20192804,그것: 두 번째 이야기,20190902~201909082,20190902,20190908,2019-09-04,안드레스 무시에티,Andres Muschietti
3,20190902~20190908,20193821,극장판 헬로카봇 : 달나라를 구해줘!,20190902~201909083,20190902,20190908,2019-09-04,최신규,CHOI Shin-gyu
4,20190902~20190908,20184621,엑시트,20190902~201909084,20190902,20190908,2019-07-31,이상근,LEE Sang-geun
1,20190826~20190901,20184543,변신,20190826~201909011,20190826,20190901,2019-08-21,김홍선,KIM Hong-sun
2,20190826~20190901,20181416,유열의 음악앨범,20190826~201909012,20190826,20190901,2019-08-28,정지우,JUNG Ji-woo
3,20190826~20190901,20184621,엑시트,20190826~201909013,20190826,20190901,2019-07-31,이상근,LEE Sang-geun
4,20190826~20190901,20196850,분노의 질주: 홉스&쇼,20190826~201909014,20190826,20190901,2019-08-14,데이빗 레이치,David Leitch
1,20190819~20190825,20196850,분노의 질주: 홉스&쇼,20190819~201908251,20190819,20190825,2019-08-14,데이빗 레이치,David Leitch
2,20190819~20190825,20184621,엑시트,20190819~201908252,20190819,20190825,2019-07-31,이상근,LEE Sang-geun
3,20190819~20190825,20184543,변신,20190819~201908253,20190819,20190825,2019-08-21,김홍선,KIM Hong-sun
4,20190819~20190825,20184462,봉오동 전투,20190819~201908254,20190819,20190825,2019-08-07,원신연,WON Shin-yun
1,20190812~20190818,20196850,분노의 질주: 홉스&쇼,20190812~201908181,20190812,20190818,2019-08-14,데이빗 레이치,David Leitch
2,20190812~20190818,20184462,봉오동 전투,20190812~201908182,20190812,20190818,2019-08-07,원신연,WON Shin-yun
3,20190812~20190818,20184621,엑시트,20190812~201908183,20190812,20190818,2019-07-31,이상근,LEE Sang-geun
4,20190812~20190818,20182241,"안녕, 티라노: 영원히, 함께",20190812~201908184,20190812,20190818,2019-08-14,시즈노 코분,Kobun SHIZUNO
1,20190805~20190811,20184621,엑시트,20190805~201908111,20190805,20190811,2019-07-31,이상근,LEE Sang-geun
2,20190805~20190811,20184462,봉오동 전투,20190805~201908112,20190805,20190811,2019-08-07,원신연,WON Shin-yun
3,20190805~20190811,20180442,사자,20190805~201908113,20190805,20190811,2019-07-31,김주환,Jason KIM
4,20190805~20190811,20183844,마이펫의 이중생활 2,20190805~201908114,20190805,20190811,2019-07-31,크리스 리노드,Chris Renaud
1,20190729~20190804,20184621,엑시트,20190729~201908041,20190729,20190804,2019-07-31,이상근,LEE Sang-geun
2,20190729~20190804,20180442,사자,20190729~201908042,20190729,20190804,2019-07-31,김주환,Jason KIM
3,20190729~20190804,20175771,라이온 킹,20190729~201908043,20190729,20190804,2019-07-17,존 파브로,Jon Favreau
4,20190729~20190804,20183844,마이펫의 이중생활 2,20190729~201908044,20190729,20190804,2019-07-31,크리스 리노드,Chris Renaud
1,20190722~20190728,20175771,라이온 킹,20190722~201907281,20190722,20190728,2019-07-17,존 파브로,Jon Favreau
2,20190722~20190728,20182490,나랏말싸미,20190722~201907282,20190722,20190728,2019-07-24,조철현,CHO Chul-hyun
3,20190722~20190728,20183867,알라딘,20190722~201907283,20190722,20190728,2019-05-23,가이 리치,Guy Ritchie
4,20190722~20190728,20196309,스파이더맨: 파 프롬 홈,20190722~201907284,20190722,20190728,2019-07-02,존 왓츠,Jon Watts
1,20190715~20190721,20175771,라이온 킹,20190715~201907211,20190715,20190721,2019-07-17,존 파브로,Jon Favreau
2,20190715~20190721,20196309,스파이더맨: 파 프롬 홈,20190715~201907212,20190715,20190721,2019-07-02,존 왓츠,Jon Watts
3,20190715~20190721,20183867,알라딘,20190715~201907213,20190715,20190721,2019-05-23,가이 리치,Guy Ritchie
4,20190715~20190721,20184047,토이 스토리 4,20190715~201907214,20190715,20190721,2019-06-20,조시 쿨리,Josh Cooley
1,20190708~20190714,20196309,스파이더맨: 파 프롬 홈,20190708~201907141,20190708,20190714,2019-07-02,존 왓츠,Jon Watts
2,20190708~20190714,20183867,알라딘,20190708~201907142,20190708,20190714,2019-05-23,가이 리치,Guy Ritchie
3,20190708~20190714,20184047,토이 스토리 4,20190708~201907143,20190708,20190714,2019-06-20,조시 쿨리,Josh Cooley
4,20190708~20190714,20185353,기방도령,20190708~201907144,20190708,20190714,2019-07-10,남대중,NAM Dae-joong
1,20190701~20190707,20196309,스파이더맨: 파 프롬 홈,20190701~201907071,20190701,20190707,2019-07-02,존 왓츠,Jon Watts
2,20190701~20190707,20183867,알라딘,20190701~201907072,20190701,20190707,2019-05-23,가이 리치,Guy Ritchie
3,20190701~20190707,20184047,토이 스토리 4,20190701~201907073,20190701,20190707,2019-06-20,조시 쿨리,Josh Cooley
4,20190701~20190707,20183782,기생충,20190701~201907074,20190701,20190707,2019-05-30,봉준호,BONG Joon-ho
1,20190624~20190630,20183867,알라딘,20190624~201906301,20190624,20190630,2019-05-23,가이 리치,Guy Ritchie
2,20190624~20190630,20184047,토이 스토리 4,20190624~201906302,20190624,20190630,2019-06-20,조시 쿨리,Josh Cooley
3,20190624~20190630,20196655,존 윅 3: 파라벨룸,20190624~201906303,20190624,20190630,2019-06-26,채드 스타헬스키,Chad Stahelski
4,20190624~20190630,20183782,기생충,20190624~201906304,20190624,20190630,2019-05-30,봉준호,BONG Joon-ho
1,20190617~20190623,20183867,알라딘,20190617~201906231,20190617,20190623,2019-05-23,가이 리치,Guy Ritchie
2,20190617~20190623,20184047,토이 스토리 4,20190617~201906232,20190617,20190623,2019-06-20,조시 쿨리,Josh Cooley
3,20190617~20190623,20183782,기생충,20190617~201906233,20190617,20190623,2019-05-30,봉준호,BONG Joon-ho
4,20190617~20190623,20198453,롱 리브 더 킹: 목포 영웅,20190617~201906234,20190617,20190623,2019-06-19,강윤성,KANG Yun-sung
1,20190610~20190616,20183867,알라딘,20190610~201906161,20190610,20190616,2019-05-23,가이 리치,Guy Ritchie
2,20190610~20190616,20183782,기생충,20190610~201906162,20190610,20190616,2019-05-30,봉준호,BONG Joon-ho
3,20190610~20190616,20196657,맨 인 블랙: 인터내셔널,20190610~201906163,20190610,20190616,2019-06-12,F. 게리 그레이,F. Gary Gray
4,20190610~20190616,20182387,엑스맨: 다크 피닉스,20190610~201906164,20190610,20190616,2019-06-05,사이먼 킨버그,Simon Kinberg
1,20190603~20190609,20183782,기생충,20190603~201906091,20190603,20190609,2019-05-30,봉준호,BONG Joon-ho
2,20190603~20190609,20183867,알라딘,20190603~201906092,20190603,20190609,2019-05-23,가이 리치,Guy Ritchie
3,20190603~20190609,20182387,엑스맨: 다크 피닉스,20190603~201906093,20190603,20190609,2019-06-05,사이먼 킨버그,Simon Kinberg
4,20190603~20190609,19880001,이웃집 토토로,20190603~201906094,20190603,20190609,2001-07-28,미야자키 하야오,Hayao Miyazaki
1,20190527~20190602,20183782,기생충,20190527~201906021,20190527,20190602,2019-05-30,봉준호,BONG Joon-ho
2,20190527~20190602,20183867,알라딘,20190527~201906022,20190527,20190602,2019-05-23,가이 리치,Guy Ritchie
3,20190527~20190602,20188941,악인전,20190527~201906023,20190527,20190602,2019-05-15,이원태,LEE Won-tae
4,20190527~20190602,20184865,고질라: 킹 오브 몬스터,20190527~201906024,20190527,20190602,2019-05-29,마이클 도허티,Michael Dougherty
1,20190520~20190526,20188941,악인전,20190520~201905261,20190520,20190526,2019-05-15,이원태,LEE Won-tae
2,20190520~20190526,20183867,알라딘,20190520~201905262,20190520,20190526,2019-05-23,가이 리치,Guy Ritchie
3,20190520~20190526,20184082,걸캅스,20190520~201905263,20190520,20190526,2019-05-09,정다원,JUNG Da-won
4,20190520~20190526,20184889,어벤져스: 엔드게임,20190520~201905264,20190520,20190526,2019-04-24,안소니 루소,Anthony Russo
1,20190513~20190519,20188941,악인전,20190513~201905191,20190513,20190519,2019-05-15,이원태,LEE Won-tae
2,20190513~20190519,20184889,어벤져스: 엔드게임,20190513~201905192,20190513,20190519,2019-04-24,안소니 루소,Anthony Russo
3,20190513~20190519,20184082,걸캅스,20190513~201905193,20190513,20190519,2019-05-09,정다원,JUNG Da-won
4,20190513~20190519,20198598,명탐정 피카츄,20190513~201905194,20190513,20190519,2019-05-09,롭 레터맨,Rob Letterman
1,20190506~20190512,20184889,어벤져스: 엔드게임,20190506~201905121,20190506,20190512,2019-04-24,안소니 루소,Anthony Russo
2,20190506~20190512,20185784,나의 특별한 형제,20190506~201905122,20190506,20190512,2019-05-01,육상효,YOOK Sang-hyo
3,20190506~20190512,20184082,걸캅스,20190506~201905123,20190506,20190512,2019-05-09,정다원,JUNG Da-won
4,20190506~20190512,20198598,명탐정 피카츄,20190506~201905124,20190506,20190512,2019-05-09,롭 레터맨,Rob Letterman
1,20190429~20190505,20184889,어벤져스: 엔드게임,20190429~201905051,20190429,20190505,2019-04-24,안소니 루소,Anthony Russo
2,20190429~20190505,20185784,나의 특별한 형제,20190429~201905052,20190429,20190505,2019-05-01,육상효,YOOK Sang-hyo
3,20190429~20190505,20198183,뽀로로 극장판 보물섬 대모험,20190429~201905053,20190429,20190505,2019-04-25,김현호,KIM Hyun-ho
4,20190429~20190505,20198598,명탐정 피카츄,20190429~201905054,20190429,20190505,2019-05-09,롭 레터맨,Rob Letterman
1,20190422~20190428,20184889,어벤져스: 엔드게임,20190422~201904281,20190422,20190428,2019-04-24,안소니 루소,Anthony Russo
2,20190422~20190428,20198183,뽀로로 극장판 보물섬 대모험,20190422~201904282,20190422,20190428,2019-04-25,김현호,KIM Hyun-ho
3,20190422~20190428,20183096,생일,20190422~201904283,20190422,20190428,2019-04-03,이종언,LEE Jong-un
4,20190422~20190428,20183454,요로나의 저주,20190422~201904284,20190422,20190428,2019-04-17,마이클 차베즈,Michael Chaves
1,20190415~20190421,20183096,생일,20190415~201904211,20190415,20190421,2019-04-03,이종언,LEE Jong-un
2,20190415~20190421,20183454,요로나의 저주,20190415~201904212,20190415,20190421,2019-04-17,마이클 차베즈,Michael Chaves
3,20190415~20190421,20180825,미성년,20190415~201904213,20190415,20190421,2019-04-11,김윤석,KIM Yun-seok
4,20190415~20190421,20185406,헬보이,20190415~201904214,20190415,20190421,2019-04-10,닐 마샬,Neil Marshall
1,20190408~20190414,20183096,생일,20190408~201904141,20190408,20190414,2019-04-03,이종언,LEE Jong-un
2,20190408~20190414,20185406,헬보이,20190408~201904142,20190408,20190414,2019-04-10,닐 마샬,Neil Marshall
3,20190408~20190414,20176103,돈,20190408~201904143,20190408,20190414,2019-03-20,박누리,PARK Nu-ri
4,20190408~20190414,20180825,미성년,20190408~201904144,20190408,20190414,2019-04-11,김윤석,KIM Yun-seok
1,20190401~20190407,20196244,샤잠!,20190401~201904071,20190401,20190407,2019-04-03,데이비드 F. 샌드버그,David F. Sandberg
2,20190401~20190407,20176103,돈,20190401~201904072,20190401,20190407,2019-03-20,박누리,PARK Nu-ri
3,20190401~20190407,20185352,어스,20190401~201904073,20190401,20190407,2019-03-27,조던 필,Jordan Peele
4,20190401~20190407,20183096,생일,20190401~201904074,20190401,20190407,2019-04-03,이종언,LEE Jong-un
1,20190325~20190331,20176103,돈,20190325~201903311,20190325,20190331,2019-03-20,박누리,PARK Nu-ri
2,20190325~20190331,20185352,어스,20190325~201903312,20190325,20190331,2019-03-27,조던 필,Jordan Peele
3,20190325~20190331,20181877,캡틴 마블,20190325~201903313,20190325,20190331,2019-03-06,애너 보든,Anna Boden
4,20190325~20190331,20196025,덤보,20190325~201903314,20190325,20190331,2019-03-27,팀 버튼,Tim Burton
1,20190318~20190324,20176103,돈,20190318~201903241,20190318,20190324,2019-03-20,박누리,PARK Nu-ri
2,20190318~20190324,20181877,캡틴 마블,20190318~201903242,20190318,20190324,2019-03-06,애너 보든,Anna Boden
3,20190318~20190324,20197846,악질경찰,20190318~201903243,20190318,20190324,2019-03-20,이정범,LEE Jeong-beom
4,20190318~20190324,20197283,이스케이프 룸,20190318~201903244,20190318,20190324,2019-03-14,애덤 로비텔,Adam Robitel
1,20190311~20190317,20181877,캡틴 마블,20190311~201903171,20190311,20190317,2019-03-06,애너 보든,Anna Boden
2,20190311~20190317,20197283,이스케이프 룸,20190311~201903172,20190311,20190317,2019-03-14,애덤 로비텔,Adam Robitel
3,20190311~20190317,20196601,항거:유관순 이야기,20190311~201903173,20190311,20190317,2019-02-27,조민호,JOE Min-ho
4,20190311~20190317,20176103,돈,20190311~201903174,20190311,20190317,2019-03-20,박누리,PARK Nu-ri
1,20190304~20190310,20181877,캡틴 마블,20190304~201903101,20190304,20190310,2019-03-06,애너 보든,Anna Boden
2,20190304~20190310,20196601,항거:유관순 이야기,20190304~201903102,20190304,20190310,2019-02-27,조민호,JOE Min-ho
3,20190304~20190310,20177539,사바하,20190304~201903103,20190304,20190310,2019-02-20,장재현,JANG Jae-hyun
4,20190304~20190310,20185881,증인,20190304~201903104,20190304,20190310,2019-02-13,이한,LEE Han
1,20190225~20190303,20177539,사바하,20190225~201903031,20190225,20190303,2019-02-20,장재현,JANG Jae-hyun
2,20190225~20190303,20196601,항거:유관순 이야기,20190225~201903032,20190225,20190303,2019-02-27,조민호,JOE Min-ho
3,20190225~20190303,20185881,증인,20190225~201903033,20190225,20190303,2019-02-13,이한,LEE Han
4,20190225~20190303,20182530,극한직업,20190225~201903034,20190225,20190303,2019-01-23,이병헌,LEE Byoung-heon
1,20190218~20190224,20177539,사바하,20190218~201902241,20190218,20190224,2019-02-20,장재현,JANG Jae-hyun
2,20190218~20190224,20182530,극한직업,20190218~201902242,20190218,20190224,2019-01-23,이병헌,LEE Byoung-heon
3,20190218~20190224,20185881,증인,20190218~201902243,20190218,20190224,2019-02-13,이한,LEE Han
4,20190218~20190224,20188282,알리타: 배틀 엔젤,20190218~201902244,20190218,20190224,2019-02-05,로버트 로드리게즈,Robert Rodriguez
1,20190211~20190217,20182530,극한직업,20190211~201902171,20190211,20190217,2019-01-23,이병헌,LEE Byoung-heon
2,20190211~20190217,20185881,증인,20190211~201902172,20190211,20190217,2019-02-13,이한,LEE Han
3,20190211~20190217,20188282,알리타: 배틀 엔젤,20190211~201902173,20190211,20190217,2019-02-05,로버트 로드리게즈,Robert Rodriguez
4,20190211~20190217,20195915,해피 데스데이 2 유,20190211~201902174,20190211,20190217,2019-02-14,크리스토퍼 랜던,Christopher Landon
1,20190204~20190210,20182530,극한직업,20190204~201902101,20190204,20190210,2019-01-23,이병헌,LEE Byoung-heon
2,20190204~20190210,20188282,알리타: 배틀 엔젤,20190204~201902102,20190204,20190210,2019-02-05,로버트 로드리게즈,Robert Rodriguez
3,20190204~20190210,20180868,뺑반,20190204~201902103,20190204,20190210,2019-01-30,한준희,HAN Jun-hui
4,20190204~20190210,20186261,드래곤 길들이기 3,20190204~201902104,20190204,20190210,2019-01-30,딘 데블로이스,Dean Deblois
1,20190128~20190203,20182530,극한직업,20190128~201902031,20190128,20190203,2019-01-23,이병헌,LEE Byoung-heon
2,20190128~20190203,20180868,뺑반,20190128~201902032,20190128,20190203,2019-01-30,한준희,HAN Jun-hui
3,20190128~20190203,20186261,드래곤 길들이기 3,20190128~201902033,20190128,20190203,2019-01-30,딘 데블로이스,Dean Deblois
4,20190128~20190203,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,20190128~201902034,20190128,20190203,2019-01-31,김진철,KIM Jin-cheol
1,20190121~20190127,20182530,극한직업,20190121~201901271,20190121,20190127,2019-01-23,이병헌,LEE Byoung-heon
2,20190121~20190127,20184105,말모이,20190121~201901272,20190121,20190127,2019-01-09,엄유나,EOM Yuna
3,20190121~20190127,20176251,내안의 그놈,20190121~201901273,20190121,20190127,2019-01-09,강효진,KANG Hyo-jin
4,20190121~20190127,20185124,러브 유어셀프 인 서울,20190121~201901274,20190121,20190127,2019-01-26,강효진,KANG Hyo-jin
1,20190114~20190120,20184105,말모이,20190114~201901201,20190114,20190120,2019-01-09,엄유나,EOM Yuna
2,20190114~20190120,20176251,내안의 그놈,20190114~201901202,20190114,20190120,2019-01-09,강효진,KANG Hyo-jin
3,20190114~20190120,20182544,글래스,20190114~201901203,20190114,20190120,2019-01-17,M. 나이트 샤말란,M. Night Shyamalan
4,20190114~20190120,20189463,주먹왕 랄프 2: 인터넷 속으로,20190114~201901204,20190114,20190120,2019-01-03,리치 무어,Rich Moore
1,20190107~20190113,20184105,말모이,20190107~201901131,20190107,20190113,2019-01-09,엄유나,EOM Yuna
2,20190107~20190113,20176251,내안의 그놈,20190107~201901132,20190107,20190113,2019-01-09,강효진,KANG Hyo-jin
3,20190107~20190113,20189463,주먹왕 랄프 2: 인터넷 속으로,20190107~201901133,20190107,20190113,2019-01-03,리치 무어,Rich Moore
4,20190107~20190113,20180290,아쿠아맨,20190107~201901134,20190107,20190113,2018-12-19,제임스 완,James Wan
1,20181231~20190106,20180290,아쿠아맨,20181231~201901061,20181231,20190106,2018-12-19,제임스 완,James Wan
2,20181231~20190106,20189463,주먹왕 랄프 2: 인터넷 속으로,20181231~201901062,20181231,20190106,2019-01-03,리치 무어,Rich Moore
3,20181231~20190106,20170658,PMC: 더 벙커,20181231~201901063,20181231,20190106,2018-12-26,김병우,KIM Byung-woo
4,20181231~20190106,20185485,보헤미안 랩소디,20181231~201901064,20181231,20190106,2018-10-31,브라이언 싱어,Bryan Singer
1,20181224~20181230,20180290,아쿠아맨,20181224~201812301,20181224,20181230,2018-12-19,제임스 완,James Wan
2,20181224~20181230,20186281,범블비,20181224~201812302,20181224,20181230,2018-12-25,트래비스 나이트,Travis Knight
3,20181224~20181230,20170658,PMC: 더 벙커,20181224~201812303,20181224,20181230,2018-12-26,김병우,KIM Byung-woo
4,20181224~20181230,20185485,보헤미안 랩소디,20181224~201812304,20181224,20181230,2018-10-31,브라이언 싱어,Bryan Singer
1,20181217~20181223,20180290,아쿠아맨,20181217~201812231,20181217,20181223,2018-12-19,제임스 완,James Wan
2,20181217~20181223,20168773,마약왕,20181217~201812232,20181217,20181223,2018-12-19,우민호,WOO Min-ho
3,20181217~20181223,20175547,스윙키즈,20181217~201812233,20181217,20181223,2018-12-19,강형철,KANG Hyoung-chul
4,20181217~20181223,20185485,보헤미안 랩소디,20181217~201812234,20181217,20181223,2018-10-31,브라이언 싱어,Bryan Singer
1,20181210~20181216,20185485,보헤미안 랩소디,20181210~201812161,20181210,20181216,2018-10-31,브라이언 싱어,Bryan Singer
2,20181210~20181216,20177552,국가부도의 날,20181210~201812162,20181210,20181216,2018-11-28,최국희,CHOI Kook-hee
3,20181210~20181216,20179230,도어락,20181210~201812163,20181210,20181216,2018-12-05,이권,LEE Kwon
4,20181210~20181216,20183238,스파이더맨: 뉴 유니버스,20181210~201812164,20181210,20181216,2018-12-12,밥 퍼시케티,Bob Persichetti
1,20181203~20181209,20177552,국가부도의 날,20181203~201812091,20181203,20181209,2018-11-28,최국희,CHOI Kook-hee
2,20181203~20181209,20185485,보헤미안 랩소디,20181203~201812092,20181203,20181209,2018-10-31,브라이언 싱어,Bryan Singer
3,20181203~20181209,20179230,도어락,20181203~201812093,20181203,20181209,2018-12-05,이권,LEE Kwon
4,20181203~20181209,20189843,호두까기 인형과 4개의 왕국,20181203~201812094,20181203,20181209,2018-12-06,라세 할스트롬,Lasse Hallstrom
1,20181126~20181202,20177552,국가부도의 날,20181126~201812021,20181126,20181202,2018-11-28,최국희,CHOI Kook-hee
2,20181126~20181202,20185485,보헤미안 랩소디,20181126~201812022,20181126,20181202,2018-10-31,브라이언 싱어,Bryan Singer
3,20181126~20181202,20184481,성난황소,20181126~201812023,20181126,20181202,2018-11-22,김민호,KIM Min-ho
4,20181126~20181202,20177538,완벽한 타인,20181126~201812024,20181126,20181202,2018-10-31,이재규,LEE Jae-kyoo
1,20181119~20181125,20185485,보헤미안 랩소디,20181119~201811251,20181119,20181125,2018-10-31,브라이언 싱어,Bryan Singer
2,20181119~20181125,20184481,성난황소,20181119~201811252,20181119,20181125,2018-11-22,김민호,KIM Min-ho
3,20181119~20181125,20176814,신비한 동물들과 그린델왈드의 범죄,20181119~201811253,20181119,20181125,2018-11-14,데이빗 예이츠,David Yates
4,20181119~20181125,20177538,완벽한 타인,20181119~201811254,20181119,20181125,2018-10-31,이재규,LEE Jae-kyoo
1,20181112~20181118,20176814,신비한 동물들과 그린델왈드의 범죄,20181112~201811181,20181112,20181118,2018-11-14,데이빗 예이츠,David Yates
2,20181112~20181118,20185485,보헤미안 랩소디,20181112~201811182,20181112,20181118,2018-10-31,브라이언 싱어,Bryan Singer
3,20181112~20181118,20177538,완벽한 타인,20181112~201811183,20181112,20181118,2018-10-31,이재규,LEE Jae-kyoo
4,20181112~20181118,20183050,번 더 스테이지: 더 무비,20181112~201811184,20181112,20181118,2018-11-15,박준수,
1,20181105~20181111,20177538,완벽한 타인,20181105~201811111,20181105,20181111,2018-10-31,이재규,LEE Jae-kyoo
2,20181105~20181111,20185485,보헤미안 랩소디,20181105~201811112,20181105,20181111,2018-10-31,브라이언 싱어,Bryan Singer
3,20181105~20181111,20170513,동네사람들,20181105~201811113,20181105,20181111,2018-11-07,임진순,LIM Jin-sun
4,20181105~20181111,20181171,바울,20181105~201811114,20181105,20181111,2018-10-31,앤드류 하얏트,Andrew Hyatt
1,20181029~20181104,20177538,완벽한 타인,20181029~201811041,20181029,20181104,2018-10-31,이재규,LEE Jae-kyoo
2,20181029~20181104,20185485,보헤미안 랩소디,20181029~201811042,20181029,20181104,2018-10-31,브라이언 싱어,Bryan Singer
3,20181029~20181104,20174981,창궐,20181029~201811043,20181029,20181104,2018-10-25,김성훈,KIM Sung-hoon
4,20181029~20181104,20181404,벽 속에 숨은 마법시계,20181029~201811044,20181029,20181104,2018-10-31,일라이 로스,Eli Roth
1,20181022~20181028,20174981,창궐,20181022~201810281,20181022,20181028,2018-10-25,김성훈,KIM Sung-hoon
2,20181022~20181028,20179189,암수살인,20181022~201810282,20181022,20181028,2018-10-03,김태균,KIM Tae-gyun
3,20181022~20181028,20186321,퍼스트맨,20181022~201810283,20181022,20181028,2018-10-18,데이미언 셔젤,Damien Chazelle
4,20181022~20181028,20189067,미쓰백,20181022~201810284,20181022,20181028,2018-10-11,이지원,LEE Ji-won
1,20181015~20181021,20179189,암수살인,20181015~201810211,20181015,20181021,2018-10-03,김태균,KIM Tae-gyun
2,20181015~20181021,20177221,베놈,20181015~201810212,20181015,20181021,2018-10-03,루벤 플레셔,Ruben Fleischer
3,20181015~20181021,20186321,퍼스트맨,20181015~201810213,20181015,20181021,2018-10-18,데이미언 셔젤,Damien Chazelle
4,20181015~20181021,20189067,미쓰백,20181015~201810214,20181015,20181021,2018-10-11,이지원,LEE Ji-won
1,20181008~20181014,20179189,암수살인,20181008~201810141,20181008,20181014,2018-10-03,김태균,KIM Tae-gyun
